Club Name,Event Type,Event Date,Event Time,Description
International Graduate Student Association,Past Due,1/5/2024,5:00 PM - 8:00 PM,Join our language exchange soirée and expand your global connections.
Engineering and Applied Science Tribunal,Upcoming,3/5/2024,4:00 PM - 6:30 PM,Innovate with us: Engineering challenges and creative solutions workshop.
Engineering and Applied Science Tribunal,Upcoming,3/15/2024,5:00 PM - 7:00 PM,Monthly engineering meet-up: Network and learn from industry experts.
Engineering and Applied Science Tribunal,Upcoming,3/25/2024,4:00 PM - 7:00 PM,Join our engineering design contest. Prizes for innovative solutions!
Engineering and Applied Science Tribunal,Upcoming,4/4/2024,5:00 PM - 7:30 PM,Explore new tech trends at our engineering seminar series.
Engineering and Applied Science Tribunal,Upcoming,4/14/2024,7:30 PM - 9:00 PM,Engineering community night: Share projects and ideas over pizza.
Engineering and Applied Science Tribunal,Past Due,2/14/2024,5:30 PM - 7:00 PM,Innovate with us: Engineering challenges and creative solutions workshop.
Engineering and Applied Science Tribunal,Past Due,2/4/2024,5:30 PM - 8:30 PM,Monthly engineering meet-up: Network and learn from industry experts.
Engineering and Applied Science Tribunal,Past Due,1/25/2024,6:30 PM - 9:00 PM,Join our engineering design contest. Prizes for innovative solutions!
Engineering and Applied Science Tribunal,Past Due,1/15/2024,6:30 PM - 8:30 PM,Explore new tech trends at our engineering seminar series.
Engineering and Applied Science Tribunal,Past Due,1/5/2024,7:00 PM - 10:30 PM,Engineering community night: Share projects and ideas over pizza.
Curesz on Campus,Upcoming,3/5/2024,5:30 PM - 7:00 PM,Mental health workshop: Techniques and talks for well-being.
Curesz on Campus,Upcoming,3/15/2024,4:00 PM - 7:00 PM,Join us for a discussion on mental health awareness and support.
Curesz on Campus,Upcoming,3/25/2024,5:30 PM - 8:30 PM,"Campus walk for mental health: Show support, share stories."
Curesz on Campus,Upcoming,4/4/2024,4:30 PM - 6:00 PM,Wellness workshop: Mindfulness and mental health strategies for students.
Curesz on Campus,Upcoming,4/14/2024,7:00 PM - 9:30 PM,"Mental health movie night: Watch, discuss, and connect."
Curesz on Campus,Past Due,2/14/2024,4:30 PM - 6:30 PM,Mental health workshop: Techniques and talks for well-being.
Curesz on Campus,Past Due,2/4/2024,4:00 PM - 6:00 PM,Join us for a discussion on mental health awareness and support.
Curesz on Campus,Past Due,1/25/2024,5:30 PM - 7:00 PM,"Campus walk for mental health: Show support, share stories."
Curesz on Campus,Past Due,1/15/2024,4:30 PM - 6:30 PM,Wellness workshop: Mindfulness and mental health strategies for students.
Curesz on Campus,Past Due,1/5/2024,5:30 PM - 7:30 PM,"Mental health movie night: Watch, discuss, and connect."
UC International Partners and Leaders,Upcoming,3/5/2024,4:30 PM - 6:30 PM,"Global leadership forum: Discussing today's issues, shaping tomorrow's solutions."
UC International Partners and Leaders,Upcoming,3/15/2024,4:00 PM - 7:30 PM,International networking event: Connect with leaders from around the world.
UC International Partners and Leaders,Upcoming,3/25/2024,6:00 PM - 9:00 PM,Cultural leadership workshop: Learn how to lead in a diverse world.
UC International Partners and Leaders,Upcoming,4/4/2024,7:30 PM - 10:00 PM,Global issues roundtable: Share ideas and solutions for international challenges.
UC International Partners and Leaders,Upcoming,4/14/2024,7:00 PM - 9:30 PM,Meet global leaders: An evening of insightful talks and networking.
UC International Partners and Leaders,Past Due,2/14/2024,4:30 PM - 6:00 PM,"Global leadership forum: Discussing today's issues, shaping tomorrow's solutions."
UC International Partners and Leaders,Past Due,2/4/2024,7:30 PM - 10:00 PM,International networking event: Connect with leaders from around the world.
UC International Partners and Leaders,Past Due,1/25/2024,7:00 PM - 9:00 PM,Cultural leadership workshop: Learn how to lead in a diverse world.
UC International Partners and Leaders,Past Due,1/15/2024,6:30 PM - 8:30 PM,Global issues roundtable: Share ideas and solutions for international challenges.
UC International Partners and Leaders,Past Due,1/5/2024,6:00 PM - 9:30 PM,Meet global leaders: An evening of insightful talks and networking.
Indian Student Association,Upcoming,3/5/2024,7:30 PM - 10:00 PM,"Diwali celebration: Lights, music, dance, and Indian cuisine."
Indian Student Association,Upcoming,3/15/2024,4:30 PM - 7:00 PM,Bollywood movie night: Experience the vibrancy of Indian cinema.
Indian Student Association,Upcoming,3/25/2024,4:00 PM - 7:30 PM,Holi festival on campus! Join us for a day of colors and joy.
Indian Student Association,Upcoming,4/4/2024,7:30 PM - 10:30 PM,Indian music and dance workshop: Learn the traditional and modern arts.
Indian Student Association,Upcoming,4/14/2024,5:30 PM - 7:00 PM,Taste of India: Savor authentic Indian dishes and learn their stories.
Indian Student Association,Past Due,2/14/2024,5:00 PM - 8:30 PM,"Diwali celebration: Lights, music, dance, and Indian cuisine."
Indian Student Association,Past Due,2/4/2024,6:30 PM - 8:30 PM,Bollywood movie night: Experience the vibrancy of Indian cinema.
Indian Student Association,Past Due,1/25/2024,6:00 PM - 9:00 PM,Holi festival on campus! Join us for a day of colors and joy.
Indian Student Association,Past Due,1/15/2024,6:30 PM - 9:30 PM,Indian music and dance workshop: Learn the traditional and modern arts.
Indian Student Association,Past Due,1/5/2024,7:00 PM - 10:30 PM,Taste of India: Savor authentic Indian dishes and learn their stories.
